antecedents	consequents	confidence	support	conviction
Attacco Linea Subito	Attacco Linea	0.7792732166890982	0.11149731847986212	3.8810505636276567
Passaggio Intercettato, Seconda Palla Difensiva	Seconda Palla Offensiva	0.7789811472121941	0.018698427675983786	3.9431409423941703
Duello Difensivo, Fallo Subito	Duello Offensivo	0.7785608308605341	0.020210092529294524	2.94515491407683
Passaggio, Perde Palla	Recupero Palla	0.7783088235294118	0.04076680884660935	4.1876905538646705
Intercetto Cross, Seconda Palla Difensiva	Seconda Palla Offensiva	0.7779941577409932	0.007693122406339364	3.9256105992554353
Attacco Linea	Attacco Linea Subito	0.7778076303062869	0.11149731847986212	3.856664404080626
Fallo, Duello Difensivo	Duello Offensivo	0.777359909740504	0.019901982495498707	2.9292687422110486
Passaggio, Seconda Palla Difensiva	Seconda Palla Offensiva	0.7764638999431495	0.06575260689973907	3.8987371044182213
Fallo Subito, Duello Offensivo	Duello Difensivo	0.7756836659275683	0.020210092529294524	2.9121437658168317
Passaggio Rifinitura, Tiro Subito	Tiro Fatto	0.7756366139022712	0.010851250252746513	4.110134540003122
Fallo, Duello Offensivo	Duello Difensivo	0.7744473585612589	0.019901982495498707	2.896181617173987
Tiro Subito	Tiro Fatto	0.7731752963194012	0.05966743373227164	4.06553469595123
Passaggio, Seconda Palla Offensiva	Seconda Palla Difensiva	0.7727735656897137	0.06575260689973907	3.834232112269588
Recupero Palla	Perde Palla	0.7717435139131603	0.05527686575068121	4.076098925503682
Fallo, Duello Offensivo	Fallo Subito	0.7695766204571	0.01977681279426915	3.9443760407813677
Duello Difensivo, Costruzione	Duello Offensivo	0.7695220066256507	0.03131168218450014	2.82965261720632
Duello Difensivo, Movimenti Offensivi	Duello Offensivo	0.7689497716894977	0.008107145264252496	2.822644504309906
Passaggio Intercettato, Recupero Palla	Passaggio	0.768642447418738	0.0077412645991199605	0.9020930236074194
Seconda Palla Offensiva, Duello Difensivo, Seconda Palla Difensiva	Duello Offensivo	0.7676886792452831	0.0250724540001348	2.807321894780913
Passaggio Rifinitura, Passaggio Intercettato	Passaggio	0.7669172932330827	0.011785208792690089	0.8954162109982237
Tiro Subito, Calci Piazzati Contro	Calci Piazzati Favore	0.7668488160291439	0.008107145264252496	3.9675242546385
Fallo, Duello Difensivo	Fallo Subito	0.7668296352012035	0.019632386215927364	3.8979072588798283
Passaggio Rifinitura, Seconda Palla Difensiva	Seconda Palla Offensiva	0.7667037861915368	0.013258359891776351	3.7356306527293146
Tiro Fatto	Tiro Subito	0.766575952498763	0.05966743373227164	3.953440422490373
Duello Difensivo, Recupero Palla	Duello Offensivo	0.7663911845730027	0.01339315803156202	2.791729652702221
Fallo, Calci Piazzati Contro, Calci Piazzati Favore	Fallo Subito	0.766023166023166	0.0095514110476704	3.8844719883459664
Duello Difensivo, Ricezione	Duello Offensivo	0.7655966081162932	0.024340692669869726	2.7822662970839045
Tiro Subito, Calci Piazzati Favore	Calci Piazzati Contro	0.7654545454545454	0.008107145264252496	3.9464021398719527
Passaggio, Attacco Linea Subito	Attacco Linea	0.7648942985265855	0.06897813381603905	3.6436879301855822
Duello Offensivo, Ricezione	Duello Difensivo	0.764670296430732	0.024340692669869726	2.775856187859599
Perde Palla, Passaggio Intercettato	Passaggio	0.764589515331355	0.00744278300388026	0.886562187050462
Passaggio Intercettato, Duello Offensivo	Passaggio	0.7642393655371306	0.040824579477946064	0.8852454720353784
Tiro Fatto, Calci Piazzati Contro	Calci Piazzati Favore	0.763254113345521	0.00803974619435966	3.907282151651921
Tiro Subito, Attacco Linea	Tiro Fatto	0.7632299270072993	0.01610837770438768	3.8947646172358965
Tiro Fatto, Calci Piazzati Favore	Calci Piazzati Contro	0.7625570776255708	0.00803974619435966	3.8982449948784117
Duello Offensivo, Costruzione	Duello Difensivo	0.76194939081537	0.03131168218450014	2.7441283014456364
Passaggio, Attacco Linea	Attacco Linea Subito	0.7614795918367347	0.06897813381603905	3.592654438481049
Duello Difensivo, Passaggio Intercettato	Passaggio	0.7614728822782514	0.04042018505858905	0.8749782252679004
Seconda Palla Offensiva, Passaggio Intercettato	Seconda Palla Difensiva	0.7612700901607212	0.018698427675983786	3.649475224011788
Passaggio, Duello Difensivo, Passaggio Intercettato	Duello Offensivo	0.7598856598380181	0.03071471899402074	2.716092078133404
Fallo, Costruzione	Passaggio	0.7597493036211699	0.010504626464726215	0.8687010580537633
Duello Difensivo, Perde Palla	Duello Offensivo	0.7597031963470319	0.01281545171819486	2.714029680153562
Fallo Subito, Duello Offensivo	Fallo	0.7590539541759054	0.01977681279426915	3.7723558609457357
Fallo, Fallo Subito, Calci Piazzati Contro	Calci Piazzati Favore	0.7589900535577659	0.0095514110476704	3.83815270306186
Seconda Palla Offensiva, Duello Offensivo	Seconda Palla Difensiva	0.7587497248514198	0.033189227702943414	3.61134879805812
Tiro Fatto, Attacco Linea Subito	Attacco Linea	0.7577948486217803	0.016146891458612155	3.536885164918624
Seconda Palla Offensiva, Duello Difensivo	Seconda Palla Difensiva	0.7573118999776736	0.03265966358235685	3.589953076021713
Fallo Subito, Costruzione	Passaggio	0.7571929824561404	0.010389085202052784	0.8595551984190218
Passaggio Rifinitura, Duello Difensivo	Duello Offensivo	0.756504854368932	0.0187561983073205	2.678380529804601
Passaggio, Recupero Palla	Perde Palla	0.7563415505537693	0.04076680884660935	3.8184434801762466
Duello Difensivo, Fallo Subito	Fallo	0.7563056379821959	0.019632386215927364	3.729812296887759
Fuorigioco Provocato	Passaggio	0.7562724014336919	0.008126402141364735	0.8563085812609069
Seconda Palla Offensiva, Duello Offensivo, Seconda Palla Difensiva	Duello Difensivo	0.7554395126196694	0.0250724540001348	2.671083218868561
Fallo, Passaggio Intercettato	Fallo Subito	0.7535269709543568	0.008742622208956373	3.6875290615938994
Passaggio, Passaggio Intercettato, Seconda Palla Difensiva	Seconda Palla Offensiva	0.7535135135135135	0.01342204334723038	3.535725223282645
Attacco Linea Subito, Tiro Subito	Tiro Fatto	0.7534184138559707	0.01591580893326529	3.7397914302233897
Perde Palla	Passaggio	0.7525245538802047	0.052378705745289286	0.84334036937715
Recupero Palla	Passaggio	0.7525205000672133	0.05389999903715614	0.8433265551252765
Passaggio, Passaggio Intercettato, Duello Offensivo	Duello Difensivo	0.7523584905660377	0.03071471899402074	2.6378510425535713
Passaggio, Calci Piazzati Contro	Calci Piazzati Favore	0.7516525023607177	0.02299271127201302	3.724752559196867
Trasmissione, Duello Offensivo	Duello Difensivo	0.7510288065843621	0.010543140218950692	2.623763034100826
Fallo Subito, Passaggio Intercettato	Fallo	0.7504132231404959	0.008742622208956373	3.6417563445193046
Duello Difensivo, Seconda Palla Difensiva	Seconda Palla Offensiva	0.7502764875027649	0.03265966358235685	3.489893597737363
Duello Offensivo, Seconda Palla Difensiva	Seconda Palla Offensiva	0.7496737712048717	0.033189227702943414	3.481490899548709
In fuorigioco	Passaggio	0.7495543672014261	0.008097516825696377	0.8333386843694708
Fallo, Fallo Subito, Calci Piazzati Favore	Calci Piazzati Contro	0.7486792452830189	0.0095514110476704	3.6829854532220243
Tiro Subito, Attacco Linea	Attacco Linea Subito	0.7486313868613139	0.01580026767059186	3.409023077130486
Duello Offensivo, Recupero Palla	Duello Difensivo	0.7482517482517482	0.01339315803156202	2.594820060530784
Smarcamento, Duello Offensivo	Duello Difensivo	0.748207171314741	0.009041103804196074	2.594360678383217
Protezione Palla, Ricezione	Passaggio	0.7480586712683347	0.00834785622815548	0.8283914163393546
Duello Offensivo, Ricezione	Passaggio	0.7480338777979432	0.02381112854928316	0.828309902610945
Attacco Linea Subito, Tiro Subito	Attacco Linea	0.7479489516864175	0.01580026767059186	3.3987234431602715
Fallo, Duello Difensivo, Fallo Subito	Duello Offensivo	0.7474252084355075	0.014673740359525896	2.582097180484706
Rete Fatta	Rete Subita	0.7470956210902592	0.00804937463291578	3.906702709915526
Tiro Fatto, Attacco Linea Subito	Tiro Subito	0.7469498418436511	0.01591580893326529	3.6468187639010576
Passaggio Rifinitura, Duello Offensivo	Duello Difensivo	0.7469325153374233	0.0187561983073205	2.581293344385614
Fallo Subito, Calci Piazzati Favore, Calci Piazzati Contro	Fallo	0.746425884123401	0.0095514110476704	3.584491362590625
Duello Difensivo, Ricezione	Passaggio	0.7462144155057542	0.02372447260227809	0.8223715092343049
Tiro Fatto, Attacco Linea	Attacco Linea Subito	0.7433510638297872	0.016146891458612155	3.338885466829854
Perde Palla, Duello Offensivo	Duello Difensivo	0.7431602456728085	0.01281545171819486	2.543381243885418
Movimenti Offensivi, Duello Offensivo	Duello Difensivo	0.7425044091710759	0.008107145264252496	2.5369032989536526
Tiro Fatto, Calci Piazzati Favore	Tiro Subito	0.7424657534246576	0.007827920546125034	3.583321741649328
Passaggio Intercettato, Seconda Palla Difensiva	Passaggio	0.7420778178900923	0.017812611328820806	0.8091821821416966
Passaggio, Duello Difensivo, Seconda Palla Difensiva	Duello Offensivo	0.742068397198187	0.017340817839570956	2.528471308191336
Fallo, Fallo Subito, Duello Offensivo	Duello Difensivo	0.7419668938656281	0.014673740359525896	2.5316186113720587
Attacco Linea Subito, Duello Offensivo	Duello Difensivo	0.7417054263565891	0.023031225026237494	2.529055893918048
Tiro Fatto, Attacco Linea	Tiro Subito	0.7415780141843973	0.01610837770438768	3.571012203393516
Perde Palla, Costruzione	Recupero Palla	0.7413925019127773	0.009329956960879654	3.589896087498235
Seconda Palla Offensiva, Passaggio Intercettato	Passaggio	0.7401019208153665	0.01817849199395334	0.8030303063308786
Fallo Subito, Costruzione	Fallo	0.7396491228070176	0.010148374238149798	3.4911894207388627
Tiro Fatto, Calci Piazzati Contro	Tiro Subito	0.7394881170018281	0.007789406791900558	3.542364572211009
Tiro Subito, Calci Piazzati Favore	Tiro Fatto	0.739090909090909	0.007827920546125034	3.534425341406146
Passaggio, Duello Difensivo, Fallo Subito	Duello Offensivo	0.7389705882352942	0.009676580748899951	2.498464264050299
Perde Palla, Duello Offensivo	Recupero Palla	0.7386934673366835	0.012738424209745906	3.5528160590504743
Tiro Fatto, Passaggio Rifinitura	Tiro Subito	0.7385321100917432	0.010851250252746513	3.5294125993692886
Passaggio, Seconda Palla Offensiva, Passaggio Intercettato	Seconda Palla Difensiva	0.7383474576271186	0.01342204334723038	3.3297551145037687
Perde Palla, Passaggio Intercettato	Recupero Palla	0.7378832838773491	0.007182815162865038	3.541834566348752
Perde Palla, Recupero Palla	Passaggio	0.7375021773210242	0.04076680884660935	0.7950772010695196
Fallo, Duello Difensivo, Duello Offensivo	Fallo Subito	0.7373004354136429	0.014673740359525896	3.459756238789318
Duello Difensivo, Perde Palla	Recupero Palla	0.7368721461187214	0.012430314175950086	3.528224138520523
Tiro Subito, Calci Piazzati Contro	Tiro Fatto	0.7367941712204007	0.007789406791900558	3.5035838947340467
Attacco Linea Subito, Smarcamento	Attacco Linea	0.7366185216652507	0.00834785622815548	3.252513472825596
Passaggio, Duello Difensivo, Costruzione	Duello Offensivo	0.7358956276445698	0.020094551266621092	2.4693747072180163
Passaggio, Calci Piazzati Favore	Calci Piazzati Contro	0.7356746765249539	0.02299271127201302	3.501785873356947
Passaggio, Fallo Subito, Duello Offensivo	Duello Difensivo	0.7351865398683248	0.009676580748899951	2.466798377677258
Duello Difensivo, Smarcamento	Duello Offensivo	0.7347417840375587	0.009041103804196074	2.4586332030994718
Fallo, Costruzione	Fallo Subito	0.7339832869080779	0.010148374238149798	3.4166141177408806
Passaggio, Duello Difensivo, Seconda Palla Offensiva	Duello Offensivo	0.7339144873391449	0.01702307936721902	2.4509889720731572
Duello Offensivo, Attacco Linea	Duello Difensivo	0.7338935574229692	0.022703858115329437	2.4548124709563224
Smarcamento, Attacco Linea	Attacco Linea Subito	0.733502538071066	0.00834785622815548	3.215495550515145
Attacco Linea Subito, Passaggio Intercettato	Attacco Linea	0.7334226389819156	0.010543140218950692	3.2135204711490126
Fallo, Fallo Subito, Costruzione	Passaggio	0.7324478178368122	0.007433154565324142	0.7800573049153728
Duello Difensivo, Passaggio Intercettato, Duello Offensivo	Passaggio	0.7323232323232324	0.03071471899402074	0.7796942407585614
Seconda Palla Offensiva, Duello Difensivo, Duello Offensivo	Seconda Palla Difensiva	0.7322834645669292	0.0250724540001348	3.2543335053236775
Fallo, Passaggio, Duello Difensivo	Duello Offensivo	0.7296072507552871	0.009301071645211297	2.411945804692988
Passaggio, Smarcamento, Duello Offensivo	Duello Difensivo	0.7283349561830575	0.007202072039977277	2.4045839857118123
Passaggio, Duello Offensivo, Seconda Palla Difensiva	Duello Difensivo	0.7282652648604934	0.017340817839570956	2.403967286348388
Passaggio Intercettato, Attacco Linea	Attacco Linea Subito	0.7275747508305648	0.010543140218950692	3.1455285648765363
Fallo, Passaggio, Duello Offensivo	Duello Difensivo	0.7274096385542169	0.009301071645211297	2.3964215402746154
Calci Piazzati Favore, Duello Offensivo	Duello Difensivo	0.7270606531881804	0.009002590049971596	2.3933574307639143
Attacco Linea Subito, Duello Difensivo	Duello Offensivo	0.7270516717325227	0.023031225026237494	2.3893630757873265
Fallo, Passaggio, Duello Offensivo	Fallo Subito	0.7266566265060241	0.009291443206655177	3.3250356351693924
Movimenti Offensivi, Duello Offensivo	Passaggio	0.7266313932980599	0.007933833370242348	0.7634601377984855
Duello Difensivo, Fallo Subito, Duello Offensivo	Fallo	0.7260600285850406	0.014673740359525896	3.3180051214920576
Attacco Linea Subito, Attacco Linea, Tiro Subito	Tiro Fatto	0.7257769652650823	0.01146747032033815	3.362823635890968
Passaggio, Duello Difensivo, Ricezione	Duello Offensivo	0.7252435064935064	0.017206019699785285	2.3736387403880412
Duello Difensivo, Movimenti Offensivi	Passaggio	0.7251141552511415	0.007644980213558767	0.7592462039401171
Calci Piazzati Contro, Duello Offensivo	Duello Difensivo	0.7248427672955975	0.008877420348742044	2.374065938298215
Fallo, Passaggio, Duello Difensivo	Fallo Subito	0.7235649546827795	0.009224044136762342	3.287848168678879
Attacco Linea, Ricezione	Attacco Linea Subito	0.7230769230769231	0.007693122406339364	3.094438399924684
Passaggio, Passaggio Rifinitura, Duello Difensivo	Duello Offensivo	0.7228699551569507	0.0077605214762322	2.3533091026977675
Passaggio, Duello Offensivo, Ricezione	Duello Difensivo	0.7226041245450869	0.017206019699785285	2.3549067294841346
Duello Difensivo, Attacco Linea	Duello Offensivo	0.7222052067381317	0.022703858115329437	2.34767775703199
Passaggio, Seconda Palla Offensiva, Duello Offensivo	Duello Difensivo	0.7216326530612246	0.01702307936721902	2.3466883635011713
Tiro Fatto, Attacco Linea Subito, Tiro Subito	Attacco Linea	0.720508166969147	0.01146747032033815	3.065033412557459
Passaggio, Duello Offensivo, Costruzione	Duello Difensivo	0.7204004142216085	0.020094551266621092	2.33634614307931
Passaggio, Duello Difensivo, Seconda Palla Offensiva	Seconda Palla Difensiva	0.7202158572021585	0.01670534089486708	3.113968084383292
Duello Difensivo, Duello Offensivo, Seconda Palla Difensiva	Seconda Palla Offensiva	0.7199336466685098	0.0250724540001348	3.111792891583297
